QUOTAZIONI FANTAGAZZETTA 2014/2015,,,,,,
Solo su WWW.FANTAGAZZETTA.COMi voti alle prime luci dell'alba,,,,,,
,,,,,,
id,Ruolo,Calciatore,Squadra,Costo,Costo Iniziale,Diff
517,D,AGOSTINI,VERONA,"5,1","5,1",0
528,C,IONITA,VERONA,"5,1","5,1",0
530,C,OBBADI,VERONA,"5,0","5,0",0
526,C,DONATI,VERONA,"4,8","4,8",0
432,D,ACERBI,SASSUOLO,"4,8","4,8",0
229,C,MARRONE,JUVENTUS,"4,8","4,8",0
256,C,EDERSON,LAZIO,"4,8","4,8",0
7,D,BRIVIO,ATALANTA,"4,8","4,8",0
98,C,RADOVANOVIC,CHIEVO,"4,7","4,7",0
192,D,MBAYE,INTER,"4,7","4,7",0
222,D,OGBONNA,JUVENTUS,"4,6","4,6",0
108,D,HYSAJ,EMPOLI,"4,6","4,6",0
92,C,GUANA,CHIEVO,"4,6","4,6",0
15,D,ZAPPACOSTA,ATALANTA,"4,6","4,6",0
31,D,BALZANO,CAGLIARI,"4,6","4,6",0
32,D,BENEDETTI,CAGLIARI,"4,5","4,5",0
75,A,SUCCI,CESENA,"4,5","4,5",0
206,C,SCHELOTTO,INTER,"4,5","4,5",0
408,D,COSTA,SAMPDORIA,"4,5","4,5",0
508,C,ZAPATA A.,UDINESE,"4,5","4,5",0
179,C,RINCON,GENOA,"4,4","4,4",0
244,D,BRAAFHEID,LAZIO,"4,4","4,4",0
82,D,EDIMAR,CHIEVO,"4,4","4,4",0
135,D,RONCAGLIA,FIORENTINA,"4,4","4,4",0
65,C,COPPOLA,CESENA,"4,4","4,4",0
280,D,ZAPATA C.,MILAN,"4,3","4,3",0
277,D,MEXES,MILAN,"4,2","4,2",0
223,D,SORENSEN,JUVENTUS,"4,2","4,2",0
187,D,CAMPAGNARO,INTER,"4,2","4,2",0
62,D,VOLTA,CESENA,"4,2","4,2",0
35,D,PISANO F.,CAGLIARI,"4,2","4,2",0
83,D,FREY,CHIEVO,"4,2","4,2",0
367,C,JORQUERA,PARMA,"4,2","4,2",0
498,D,WAGUE,UDINESE,"4,1","4,1",0
9,D,CHERUBIN,ATALANTA,"4,1","4,1",0
68,C,TABANELLI,CESENA,"4,1","4,1",0
109,D,LAURINI,EMPOLI,"4,0","4,0",0
97,C,MANGANI,CHIEVO,"4,0","4,0",0
704,D,PIRIS,UDINESE,"4,0","4,0",0
361,D,MESBAH,PARMA,"4,0","4,0",0
385,D,EMANUELSON,ROMA,"3,8","3,8",0
334,D,PISANO E.,PALERMO,"3,8","3,8",0
357,D,FELIPE,PARMA,"3,8","3,8",0
96,C,LAZAREVIC,CHIEVO,"3,8","3,8",0
10,D,DEL GROSSO,ATALANTA,"3,8","3,8",0
267,A,PEREA,LAZIO,"3,8","3,8",0
162,D,ANTONINI,GENOA,"3,7","3,7",0
22,C,MIGLIACCIO,ATALANTA,"3,7","3,7",0
118,C,SIGNORELLI,EMPOLI,"3,7","3,7",0
